tensor([-1.2872, -0.3137]) 	 tensor([2.7038])
tensor([-0.9446, -0.0731]) 	 tensor([2.5438])
tensor([-0.9868,  1.2067]) 	 tensor([-1.8803])
tensor([-0.5545,  0.7431]) 	 tensor([0.5715])
tensor([-0.6807,  1.7931]) 	 tensor([-3.2669])
tensor([-0.2426,  0.9106]) 	 tensor([0.6220])
tensor([-1.5698,  0.4174]) 	 tensor([-0.3565])
tensor([ 0.0355, -1.5946]) 	 tensor([9.7051])
tensor([0.6417, 0.4061]) 	 tensor([4.0954])
tensor([-0.1233,  1.5398]) 	 tensor([-1.2735])
tensor([ 0.5304, -0.0053]) 	 tensor([5.2559])
tensor([-2.1676,  0.3878]) 	 tensor([-1.4507])
tensor([-0.7695, -0.9545]) 	 tensor([5.9164])
tensor([-1.5594,  0.3203]) 	 tensor([0.0118])
tensor([0.4735, 0.3842]) 	 tensor([3.8383])
tensor([1.9524, 0.1942]) 	 tensor([7.4353])
tensor([-0.2729, -0.4778]) 	 tensor([5.2831])
tensor([-0.8685,  1.3261]) 	 tensor([-2.0442])
tensor([-0.5953, -0.7930]) 	 tensor([5.6854])
tensor([ 1.1005, -0.1641]) 	 tensor([6.9572])
tensor([-0.0810, -1.0993]) 	 tensor([7.7843])
tensor([0.5470, 0.7174]) 	 tensor([2.8641])
tensor([0.5453, 1.7986]) 	 tensor([-0.8315])
tensor([ 0.8455, -0.7798]) 	 tensor([8.5558])
tensor([ 0.5955, -0.5326]) 	 tensor([7.2000])
tensor([-0.5325,  0.5199]) 	 tensor([1.3682])
tensor([0.2663, 1.0379]) 	 tensor([1.2011])
tensor([0.0656, 0.2048]) 	 tensor([3.6343])
tensor([-0.1404, -0.2213]) 	 tensor([4.6656])
tensor([-1.4304,  0.3851]) 	 tensor([0.0239])
tensor([-0.0927, -0.4305]) 	 tensor([5.4844])
tensor([0.2510, 2.2675]) 	 tensor([-3.0023])
tensor([-0.2957, -0.2740]) 	 tensor([4.5514])
tensor([-0.4667,  1.4140]) 	 tensor([-1.5363])
tensor([-0.1930, -2.4023]) 	 tensor([11.9802])
tensor([0.4559, 0.2547]) 	 tensor([4.2498])
tensor([-0.2890, -0.4513]) 	 tensor([5.1565])
tensor([-0.9248,  0.7850]) 	 tensor([-0.3165])
tensor([-0.0015, -0.0099]) 	 tensor([4.2379])
tensor([ 0.9898, -0.1117]) 	 tensor([6.5779])
tensor([0.5770, 0.5267]) 	 tensor([3.5653])
tensor([-0.9429, -1.0405]) 	 tensor([5.8514])
tensor([ 1.5471, -0.5007]) 	 tensor([8.9810])
tensor([-0.2180, -2.2289]) 	 tensor([11.3405])
tensor([ 1.1437, -0.4382]) 	 tensor([7.9775])
tensor([ 2.0102, -0.4448]) 	 tensor([9.7252])
tensor([-0.7562,  0.5520]) 	 tensor([0.7984])
tensor([ 0.4927, -0.0617]) 	 tensor([5.3811])
tensor([-0.5875,  0.6441]) 	 tensor([0.8159])
tensor([ 0.6207, -0.2359]) 	 tensor([6.2525])
tensor([0.7538, 0.3234]) 	 tensor([4.6024])
tensor([-1.9838,  0.5492]) 	 tensor([-1.6384])
tensor([-0.1060,  1.6653]) 	 tensor([-1.6661])
tensor([ 0.8610, -0.9480]) 	 tensor([9.1274])
tensor([-0.9578, -0.0098]) 	 tensor([2.3098])
tensor([1.4365, 1.5175]) 	 tensor([1.9190])
tensor([-0.3443, -1.1411]) 	 tensor([7.3910])
tensor([1.6526, 1.1118]) 	 tensor([3.7250])
tensor([-1.1203, -0.6848]) 	 tensor([4.2980])
tensor([-0.5169,  0.0766]) 	 tensor([2.9106])
tensor([0.1340, 0.7020]) 	 tensor([2.0972])
tensor([-0.5738, -0.0269]) 	 tensor([3.1472])
tensor([0.0849, 0.2483]) 	 tensor([3.5307])
tensor([-1.6817,  1.4758]) 	 tensor([-4.1694])
tensor([ 0.8764, -2.6188]) 	 tensor([14.8585])
tensor([1.5293, 0.5463]) 	 tensor([5.4031])
tensor([-1.4492, -0.4248]) 	 tensor([2.7447])
tensor([0.1214, 0.6781]) 	 tensor([2.1296])
tensor([1.1490, 1.3899]) 	 tensor([1.7850])
tensor([-0.1720,  1.5703]) 	 tensor([-1.4908])
tensor([-0.5208,  0.0605]) 	 tensor([2.9509])
tensor([ 1.4711, -0.0047]) 	 tensor([7.1560])
tensor([ 1.0018, -0.8660]) 	 tensor([9.1511])
tensor([0.8054, 0.3460]) 	 tensor([4.6539])
tensor([ 0.0399, -0.4627]) 	 tensor([5.8721])
